2026-07-11 23:17:25 | INFO     | aina.main                | Building local database for bbox=(17.0, -22.6, 17.2, -22.4)
2026-07-11 23:17:25 | INFO     | aina.database            | Spatial database ready at D:\aina-project\database\aina_spatial.db
2026-07-11 23:17:27 | INFO     | aina.stac                | STAC search: collection=sentinel-2-l2a bbox=(17.0, -22.6, 17.2, -22.4) -> 81 item(s)
2026-07-12 00:05:43 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260709T083601_R064_T33KYR_20260709T140923: ("Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-07-12 00:05:44 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260709T083601_R064_T33KYQ_20260709T140923: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YQ/2026/07/09/S2C_MSIL2A_20260709T083601_N0512_R064_T33KYQ_20260709T140923.SAFE/GRANULE/L2A_T33KYQ_A009615_20260709T085705/IMG_DATA/R10m/T33KYQ_20260709T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9CE10>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:44 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260709T083601_R064_T33KXR_20260709T140923: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XR/2026/07/09/S2C_MSIL2A_20260709T083601_N0512_R064_T33KXR_20260709T140923.SAFE/GRANULE/L2A_T33KXR_A009615_20260709T085705/IMG_DATA/R10m/T33KXR_20260709T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9CF50>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:44 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2C_MSIL2A_20260709T083601_R064_T33KXQ_20260709T140923: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XQ/2026/07/09/S2C_MSIL2A_20260709T083601_N0512_R064_T33KXQ_20260709T140923.SAFE/GRANULE/L2A_T33KXQ_A009615_20260709T085705/IMG_DATA/R10m/T33KXQ_20260709T083601_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9D450>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:44 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260704T083559_R064_T33KYR_20260704T130046: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YR/2026/07/04/S2B_MSIL2A_20260704T083559_N0512_R064_T33KYR_20260704T130046.SAFE/GRANULE/L2A_T33KYR_A048710_20260704T085738/IMG_DATA/R10m/T33KYR_20260704T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9D6D0>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:44 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260704T083559_R064_T33KYQ_20260704T130046: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/YQ/2026/07/04/S2B_MSIL2A_20260704T083559_N0512_R064_T33KYQ_20260704T130046.SAFE/GRANULE/L2A_T33KYQ_A048710_20260704T085738/IMG_DATA/R10m/T33KYQ_20260704T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9D450>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260704T083559_R064_T33KXR_20260704T130046: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XR/2026/07/04/S2B_MSIL2A_20260704T083559_N0512_R064_T33KXR_20260704T130046.SAFE/GRANULE/L2A_T33KXR_A048710_20260704T085738/IMG_DATA/R10m/T33KXR_20260704T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9CF50>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
2026-07-12 00:05:45 | ERROR    | aina.downloaders         | Failed to download tile sentinel2_S2B_MSIL2A_20260704T083559_R064_T33KXQ_20260704T130046: HTTPSConnectionPool(host='sentinel2l2a01.blob.core.windows.net', port=443): Max retries exceeded with url: /sentinel2-l2/33/K/XQ/2026/07/04/S2B_MSIL2A_20260704T083559_N0512_R064_T33KXQ_20260704T130046.SAFE/GRANULE/L2A_T33KXQ_A048710_20260704T085738/IMG_DATA/R10m/T33KXQ_20260704T083559_B02_10m.tif?st=2026-07-10T17%3A47%3A27Z&se=2026-07-11T18%3A32%3A27Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-07-11T15%3A38%3A42Z&ske=2026-07-18T15%3A38%3A42Z&sks=b&skv=2025-07-05&sig=aWPtZfTIVfT9a9iNztgTNrgRQNZQQbxCwwYYyzaXyE0%3D (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001983AE9CE10>: Failed to resolve 'sentinel2l2a01.blob.core.windows.net' ([Errno 11001] getaddrinfo failed)"))
