Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.9798480868339539,1.247983455657959,0.6560648083686829,0.6100000143051147
2,0.6910766959190369,0.7617318630218506,0.7611111402511597,0.7492592334747314
3,0.558932363986969,2.01057767868042,0.8107870221138,0.46222221851348877
4,0.46744054555892944,0.65056973695755,0.8431018590927124,0.7788888812065125
5,0.4076569676399231,1.4731649160385132,0.8623148202896118,0.5462962985038757
6,0.3712857961654663,0.6235069632530212,0.8746759295463562,0.79666668176651
7,0.3270737826824188,0.7379524111747742,0.8881018757820129,0.7811111211776733
8,0.30813172459602356,0.5526533722877502,0.8988425731658936,0.79666668176651
9,0.28929537534713745,0.8755977749824524,0.9042592644691467,0.7633333206176758
10,0.26611658930778503,0.45425844192504883,0.9113426208496094,0.860370397567749
11,0.24051715433597565,0.264364093542099,0.9199537038803101,0.9092592597007751
12,0.23851442337036133,1.0368415117263794,0.9199537038803101,0.7218518257141113
13,0.2288236767053604,0.7894276976585388,0.9241203665733337,0.7740740776062012
14,0.18258792161941528,0.20848865807056427,0.9380555748939514,0.9307407140731812
15,0.16237957775592804,0.23340216279029846,0.9455092549324036,0.9196296334266663
16,0.16132889688014984,0.25466006994247437,0.9461110830307007,0.9196296334266663
17,0.13384534418582916,0.19554176926612854,0.9544444680213928,0.9377777576446533
18,0.13093246519565582,0.16506105661392212,0.9548147916793823,0.9451851844787598
19,0.1213628277182579,0.24361933767795563,0.9585185050964355,0.9200000166893005
20,0.12342521548271179,0.37448978424072266,0.9578240513801575,0.8955555558204651
